"法人の名称フリガナ","法人の名称","法人区分","行政庁","郵便番号","都道府県","主たる事務所の住所","代表電話番号","代表者の氏名","ホームページアドレス","事業年度","事業の種類","事業の概要","税額控除に係る証明","有効期間"
"コウエキザイダンホウジンクマカガクギジュツブンカシンコウカイ","公益財団法人隈科学技術・文化振興会","公益財団法人","福岡県","811-3134","福岡県","古賀市青柳３１０８番地３","092-942-3511","隈　扶三郎","https://kumafound.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","この法人は、科学技術と文化の振興を目的として、自然科学の研究、及び人文・社会科学の研究に対する助成、福岡県内に本部を置く大学院に在学する学生への奨学金支給、並びに、現代美術・芸術、並びに日本文芸の伝承等の活動を助成し支援を通じて、科学技術と文化(文芸)の振興・調和に寄与することを目的とする","なし",""
"コウエキザイダンホウジンナガワヒマワリザイダン","公益財団法人ナガワひまわり財団","公益財団法人","内閣府","100-0005","東京都","千代田区丸の内一丁目４番１号","03-6758-0007","髙橋　修","http://www.nagawa-himawari.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","高等専門学校・短期大学・大学・大学院に在学する有為な学生のうち、学術優秀・品行方正でありながら経済的理由により修学が困難な者に対し奨学援護を行い、もって社会有用の人材を育成することを目的とする。","なし",""
"コウエキザイダンホウジンニシカワイリョウシンコウザイダン","公益財団法人西川医療振興財団","公益財団法人","内閣府","102-0093","東京都","千代田区平河町１丁目４番１２号","03-3288-9941","西川　猛","https://www.nishikawa-iryou.org","0401～0331","学術及び科学技術の振興を目的とする事業","医療及び医薬品に関する経済学的調査・研究、医薬品等の研究開発・生産・流通等に関する調査・研究、医療とその関連諸領域の学際的調査・研究について、大学等の医療研究機関及び研究者を助成することにより、研究者の育成に貢献し、もって、わが国の医療と福祉の発展に寄与することを目的に事業を行う。","なし",""
"コウエキザイダンホウジンエスビーシーイガクシンコウザイダン","公益財団法人ＳＢＣ医学振興財団","公益財団法人","内閣府","163-1312","東京都","新宿区西新宿６丁目５番１号","03-3345-8808","相川　佳之","https://sbc-medical.org/","0101～1231","学術及び科学技術の振興を目的とする事業","形成外科学の振興を図るため、形成外科学の研究に対する助成支援を行い、もってわが国の医学研究の発展向上に寄与する。","なし",""
"コウエキザイダンホウジンサンゴモノヅクリザイダン","公益財団法人三五ものづくり財団","公益財団法人","内閣府","456-0004","愛知県","名古屋市熱田区桜田町17番12号","052-602-5591","恒川　幸三","https://sango-mono.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","ものづくりに関する領域において各種支援活動を行い、広く深くものづくりに貢献することにより、科学技術の振興を図り、もって社会経済の発展と国民生活の向上に寄与することを目的とする。","なし",""
"コウエキザイダンホウジンヤマトガクシザイダン","公益財団法人やまと学資財団","公益財団法人","奈良県","630-8115","奈良県","奈良市大宮町３丁目４番１６－２０４号室","0742-93-6818","寺内　清智","http://yamato-foundation.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業","弊財団は、奨学金助成による経済的な支援を行い、より良い社会の発展に寄与する人材を育成することを目的とする。その目的を達成するため、奨学金の助成、海外留学支援、表彰褒賞事業に伴う奨励金助成を行う。","あり","2022-08-01～2027-07-31"
"コウエキザイダンホウジンオサケノカガクザイダン","公益財団法人お酒の科学財団","公益財団法人","内閣府","619-0284","京都府","相楽郡精華町精華台八丁目１番地１サントリーワールドリサーチセンター","080-2098-8616","安井　正人","https://www.osake-kagaku.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業","お酒に関する幅広い学術研究の発展をめざし、お酒と社会の良好な関係のあり方に寄与することを目的として研究助成事業を行う。","なし",""
"コウエキシャダンホウジンワンアジア","公益社団法人ＯＮＥ　ＡＳＩＡ","公益社団法人","富山県","939-8208","富山県","富山市布瀬町南２丁目６番地１","076-413-2275","牧田　恭穂","https://www.oneasia-japan.org/","1001～0930","児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","富山県内における外国人の活躍の場を生み出し、生活を支援することを通して、富山県の経済および地域の活性化に寄与することを目的として、外国人の技術習得・生活支援事業及び国際相互理解の促進、海外地域に対する経済協力の事業を行う。","なし",""
"クリハラントキネンザイダン","公益財団法人クリハラント記念財団","公益財団法人","内閣府","530-0047","大阪府","大阪市北区西天満４丁目８番１７号宇治電ビルディング６階","06-6311-5022","嶋田　雅景","https://www.kurihalant-zaidan.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業","エネルギー産業に従事する人材の発掘や育成を図り、学術及び産業への発展に寄与することを目的として、奨学金事業及び電気工事士取得助成事業を行う。","なし",""
"コウエキザイダンホウジンイカリシャオンイクエイザイダン","公益財団法人イカリ謝恩育英財団","公益財団法人","内閣府","151-0051","東京都","渋谷区千駄ヶ谷五丁目２７番１１号","03-3350-5195","黒澤　眞次","https://ikari-foundation.org/","0401～0331","学術及び科学技術の振興を目的とする事業","学業優秀でありながら経済的理由により就学困難な大学生を対象に奨学金の給付を行う。","なし",""
"コウエキザイダンホウジンシバハラケイイチザイダン","公益財団法人柴原慶一財団","公益財団法人","内閣府","104-0031","東京都","中央区京橋二丁目7番8号FPGlinksKYOBASHI","080-4345-2064","柴原　慶一","https://www.keiichi-shibahara.com/","0601～0531","学術及び科学技術の振興を目的とする事業","この法人は、黎明期にある様々な科学技術分野の独創的かつ先駆的な基礎研究及びこれを行う研究者並びに研究機関を支援することにより、科学技術及び文化の向上発展に寄与し、広く人類の利益のために貢献することを目的とする。その目的を達成するため、次の事業を行う。
・「科学技術」の研究を行う者の海外留学の助成
・限られたトップ層の研究者を支援する寄附講座等設置事業","なし",""
"コウエキザイダンホウジンミツタカ","公益財団法人ミツタカ","公益財団法人","埼玉県","338-0002","埼玉県","さいたま市中央区大字下落合１０８８番２５－２０３号","048-833-0077","本重　光孝","https://mitsutaka.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","埼玉県内の児童養護施設を退所した大学生、短期大学生及び専門学校生を対象とする奨学金の支給と、児童養護施設のより豊かな施設運営に役立つように児童養護施設への経済的援助を行っている。","なし",""
"コウエキザイダンホウジンピーダブリューシーザイダン","公益財団法人ＰｗＣ財団","公益財団法人","内閣府","100-0004","東京都","千代田区大手町一丁目２番１号qq","03-6257-0700","安井　正樹","https://www.pwc.com/jp/ja/about-us/member/pwc-foundation.html","1101～1031","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業","社会課題の解決を通じて、公益増進をけん引することを目指し、教育や知識および能力向上支援、多様性推進、環境対策支援その他の公益の増進を図る事業の振興に資することを目的とし、公募助成事業を実施する。","なし",""
"コウエキシャダンホウジンカクシンテキイリョウカイハツシエンキコウ","公益社団法人革新的医療開発支援機構","公益社団法人","内閣府","541-0048","大阪府","大阪市中央区瓦町二丁目３番１４号日宝瓦町ビル２階１号","06-4869-3711","松山　晃文","http://kakushinkikou.org","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業","再生医療・細胞治療・遺伝子治療のような新たな発想による革新的医療の実用化を加速・支援するため、革新的医療開発支援、同普及啓発、公共性の推進、研究開発等を行う。","なし",""
"コウエキザイダンホウジンカインズデジタルイノベーションザイダン","公益財団法人カインズデジタルイノベーション財団","公益財団法人","内閣府","367-0030","埼玉県","本庄市早稲田の杜１丁目２番１号","0495-88-8097","土屋　裕雅","https://cainz-dif.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","情報技術等を駆使することにより「日常の暮らしのさらなる向上」に繋がる研究開発に対して支援を行います。","なし",""
"コウエキザイダンホウジンダイソウザイダン","公益財団法人ＤＡＩＳＯ財団","公益財団法人","内閣府","739-0007","広島県","東広島市西条土与丸4丁目3-51","082-400-9005","湯原　博美","https://daiso-zaidan.or.jp/","0301～0228","学術及び科学技術の振興を目的とする事業","奨学金事業 学業優秀、品行方正でありながら経済的事由により学業の困難な学生に対して奨学金を支給する事業を行い、もって社会に貢献する有意な人材の育成に寄与することを目的とする。","なし",""
"コウエキザイダンホウジンホーユーカガクザイダン","公益財団法人ホーユー科学財団","公益財団法人","内閣府","480-1136","愛知県","長久手市櫨木１番地１２","090-8506-2856","水野 真紀夫","https://www.hoyu-foundation.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","化粧品・医薬部外品・医薬品の人体への安全性及び機能性に関する技術の向上を図ることで、日本国民の健康で文化的な生活に寄与することを目的として、科学技術研究への助成事業を行う。","なし",""
"コウエキザイダンホウジン　イマイセイイチキネンザイダン","公益財団法人今井精一記念財団","公益財団法人","内閣府","157-0073","東京都","世田谷区砧６丁目１５番２号","03-5494-5330","今井　博文","https://www.imaiseiichi-foundation.or.jp/","0101～1231","学術及び科学技術の振興を目的とする事業","少子高齢化が急速に進む日本において、女性特有の疾患や妊娠、出産、新生児を中心に診療・研究する周産期・新生児医学、婦人科腫瘍学、生殖医学、女性医学における独創的、先端的な研究に対する助成を通じて、女性と生まれてくる子供たちの健康を支援する。","なし",""
"コウエキシャダンホウジンニホンラクロスキョウカイ","公益社団法人日本ラクロス協会","公益社団法人","内閣府","103-0011","東京都","中央区日本橋大伝馬町2番5号石倉ビル1階","03-3666-2862","佐々木 裕介","https://www.lacrosse.gr.jp/","0401～0331","児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","ラクロスを通じた豊かなスポーツ文化の創造、及び人々の心身の健全な発達と社会の発展に貢献し、国際親善に寄与することを目的とした事業","なし",""
"コウエキザイダンホウジンイデアカンキョウブンカザイダン","公益財団法人いであ環境・文化財団","公益財団法人","内閣府","158-0094","東京都","世田谷区玉川3丁目14番5号","03-6805-7909","田畑　日出男","https://ieaf.or.jp/","0101～1231","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業","地域社会における環境汚染や身近な環境問題への認識を深めるため、環境啓発関連事業及び日本国内の大学に在籍して環境分野又は芸術分野を専攻する学生に奨学金の支給事業を実施する。","なし",""
"コウエキザイダンホウジンイウチザイダン","公益財団法人井内財団","公益財団法人","内閣府","530-0043","大阪府","大阪市北区天満四丁目１５番５号","06-4301-3090","井内　郁江","https://www.iuchizaidan.or.jp/","0401～0331","高齢者の福祉の増進を目的とする事業
児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","ミャンマーからの留学生支援に関する事業を行い、ミャンマーの発展並びに我が国との友好、親善、及び人類の福祉に寄与する人材を育成するとともに相互理解の増進に寄与することを目的とし、留学生支援事業を行う。","なし",""
"コウエキシャダンホウジン　ウイー　　アー　アジアン","公益社団法人ＷＥ　ＡＲＥ　ＡＳＩＡＮ","公益社団法人","内閣府","543-0001","大阪府","大阪市天王寺区上本町６丁目３番３１－９０６号","06-6776-4525","大池　晧ニ","","0401～0331","勤労意欲のある者に対する就労の支援を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","①大学生・専門学校生等への勉学支援②技能教育・訓練生等への勉学支援,③勉学支援のための奨学金募集、④外国人技能実習生の受入れ及び監理事業","なし",""
"コウエキザイダンホウジン　セントケアショウガクザイダン","公益財団法人セントケア奨学財団","公益財団法人","内閣府","104-0031","東京都","中央区京橋２丁目８番７号読売八重洲ビル","03-3538-2020","村上　佑順","https://www.saint-care.com/zaidan/","0801～0731","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","国内の大学・大学院において福祉・介護関連の学問を専攻する大学生および大学院生を対象とする奨学金の給付事業を行う。","なし",""
"コウエキシャダンホウジンキョウイク・ヘルスケアシンコウセツエイカイ","公益社団法人教育・ヘルスケア振興節英会","公益社団法人","鹿児島県","890-0063","鹿児島県","鹿児島市鴨池１丁目６４番６号","099-254-5568","今村　英仁","https://setsueikai.com/","0401～0331","学術及び科学技術の振興を目的とする事業
高齢者の福祉の増進を目的とする事業","医療福祉職を目指す者又は現役の医療福祉職のキャリア開発支援、及び地域医療と保健活動に関する事業を行い、地域医療・福祉の向上に寄与することを目的とする。","なし",""
"コウエキザイダンホウジン　パスウェイズ・ジャパン","公益財団法人パスウェイズ・ジャパン","公益財団法人","内閣府","112-0004","東京都","東京都文京区後楽2-16-5 福永ビル4階","03-6555-3193","折居　徳正","https://pathways-j.org","0401～0331","障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","世界各地で難民等の状況となっている人びとを日本に受け入れ、高等・専門教育及び日本語教育の機会を提供し、難民等が日本社会の一員として自立し、活躍していくことを支援し、社会への正しい理解を促進する。","なし",""
"コウエキザイダンホウジンカクブンスズキカンキョウザイダン","公益財団法人角文・鈴木環境財団","公益財団法人","愛知県","448-0004","愛知県","刈谷市泉田町古和井１番地","0566-22-1811","鈴木　文三郎","https://www.kakubun-suzuki.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国土の利用、整備又は保全を目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業","愛知県内の大学・大学院・研究機関等に所属する大学生及び大学院生並びに研究者に対する助成","なし",""
"コウエキザイダンホウジンイノベーシスト","公益財団法人イノベーシスト","公益財団法人","大阪府","541-0047","大阪府","大阪市中央区淡路町3丁目1番9号 ＷＩＳ知財コンシェル株式会社内","06-7777-1617","吉田　さつき","https://innovassist.or.jp/","0701～0630","学術及び科学技術の振興を目的とする事業","大阪府内で社会的課題を解決しようとする意欲ある法人や個人に対し、有益な技術・製品・サービス・システム・ビジネスプランなどを具現化するために必要な資金を助成し、等しくチャンスを受ける環境を支援する。","なし",""
"コウエキザイダンホウジンシュトウショウガクザイダン","公益財団法人首藤奨学財団","公益財団法人","神奈川県","223-0051","神奈川県","横浜市港北区箕輪町２丁目１７番５号","080-9771-6822","首藤　利幸","https://www.shuto-zaidan.com","0901～0831","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","神奈川県にゆかりのある医療及び医療基礎研究分野を専攻する学生に奨学金の支給事業を行い、次世代の医療分野における人材の育成と教育の発展に貢献する。","なし",""
"コウエキザイダンホウジンミタニブンカゲイジュツホゴジョウホウハッシンジギョウザイダン","公益財団法人三谷文化芸術保護情報発信事業財団","公益財団法人","石川県","920-0856","石川県","金沢市昭和町１６番１号","090-9440-0696","三谷　充","https://mitani-pcap.jp/","1001～0930","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業","日本及び東アジアの対象国及び地域における歴史的価値のある文化芸術の保護及び地域を背景にした芸術活動の支援並びにそれらの成果の情報発信を行うことを目的とし、この目的を達成するため、次の事業を行う。
1．文化芸術の保護並びに情報発信のための拠点の整備
2．拠点における前号の活動の支援
3．この法人が所有し又は使用する施設での芸術作品及び文化芸術の保護に関する活動の資料の展示
4．その他この法人の目的を達成するために必要な事業","なし",""
"コウエキザイダンホウジンモリノミヤコイガクシンコウザイダン","公益財団法人杜の都医学振興財団","公益財団法人","内閣府","980-0021","宮城県","仙台市青葉区中央二丁目２番１０号","022-208-9544","矢野　寿一","https://www.morinomiyako.or.jp/","1001～0930","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業","感染症学及び微生物学の発展を支援するため、感染症学及び微生物学研究に従事する研究者に対する研究助成金を交付する事業。","なし",""
"コウエキザイダンホウジン　キリイザイダン","公益財団法人ＫＩＲＩＩ財団","公益財団法人","内閣府","100-6605","東京都","千代田区丸の内1-9-2グラントウキョウ サウスタワー5階","03-4345-6012","桐井　隆","https://www.kiriizaidan.jp/","0101～1231","学術及び科学技術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","将来社会に貢献し得る有為な人材の育成並びに建築技術の研究発展を図ることを目的として、建築学専攻の学生に対して奨学金の支給及び国内の大学等に対して建築技術に関する研究助成を行っている。","なし",""
"コウエキザイダンホウジン　ジェイエイシーカンキョウドウブツホゴザイダン","公益財団法人ＪＡＣ環境動物保護財団","公益財団法人","内閣府","101-0051","東京都","千代田区神田神保町一丁目１０５番地神保町三井ビルディング１４階","03-5217-6333","田崎　ひろみ","https://jac-foundation.org","0101～1231","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業","動物保護とそれに伴う自然環境保護を行う団体への助成を通じて、人と動物の共存ひいては自然環境の持続可能性に寄与し、その啓蒙に努めることを目的とする。","なし",""
"コウエキザイダンホウジンレイワカンキョウザイダン","公益財団法人令和環境財団","公益財団法人","内閣府","107-0062","東京都","港区南青山六丁目６番２２号クレスト・イシイ２階","03-6427-6627","小澤　常浩","https://reiwa-kankyo.org/","0301～0228","学術及び科学技術の振興を目的とする事業","循環型社会への貢献という基本理念に基づき、地球環境の保全に貢献していく目的のため、国内の大学院博士課程に在籍する研究者が行う、環境保全に関する学術研究費用の助成を行う。","なし",""
"コウエキザイダンホウジンエイエスジェイザイダン","公益財団法人ＡＳＪ財団","公益財団法人","内閣府","332-0017","埼玉県","川口市栄町３丁目２番１６号","048-252-2670","丸山　治昭","https://www.asjf.or.jp/","0801～0731","学術及び科学技術の振興を目的とする事業","国内の大学生及び大学院生に対して奨学金支給事業を行うことで、人材の育成、学問の奨励をはかり、もって社会の健全な発展に寄与することを目的とする。","なし",""
"コウエキザイダンホウジンコンノアンドレスターザイダン","公益財団法人Ｋｏｎｎｏ＆レスター財団","公益財団法人","内閣府","108-0075","東京都","港区港南二丁目10番9号","03-3458-1520","今野　邦廣","https://kr-fd.or.jp/","1101～1031","学術及び科学技術の振興を目的とする事業","農林水産業における技術の発展の一助となることを目指し、自然災害や高齢化による労働力不足、地方の過疎化といった、国内外の国・地域が抱える安全・安心な「食」に関わる課題解決に向けた技術の進化を広く支援し、ひいてはグローバル社会の持続可能な発展に寄与することを目的とした事業を行う。","なし",""
"コウエキザイダンホウジンウノザワショウガクカイ","公益財団法人宇野澤奨学会","公益財団法人","内閣府","146-0092","東京都","大田区下丸子二丁目３６番４０号","03-6451-9670","宇野澤　虎雄","https://unozawa-shougakukai.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","高等専門学校に在籍し、専攻科への進学又は大学への編入を志す学生で、 成績優秀、方正謹厳でありながら経済的理由等により修学が困難な者に対する学資の給付事業","なし",""
"コウエキザイダンホウジンミダスザイダン","公益財団法人ミダス財団","公益財団法人","内閣府","107-0052","東京都","港区赤坂８丁目１１番３７号","03-6804-6855","吉村 英毅","https://midas-foundation.org/","0101～1231","児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","発展途上国において、就学困難な子供たちの就学環境整備に対する助成及び、貧困問題の解決に持続的に取り組んでいる団体に対する助成を行う。また、日本国内の子供の食事支援に取り組む団体に対する助成を行う。","なし",""
"コウエキザイダンホウジンホンジョウハチロウキネンオチャザイダン","公益財団法人本庄八郎記念お茶財団","公益財団法人","内閣府","151-8550","東京都","渋谷区本町3丁目４7番10号","03-3468-2214","本庄　八郎","https://ocha-zaidan.or.jp/","1001～0930","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業","日本古来の農作物であり文化であるお茶の発展と普及に寄与するための助成金の支給並びにこれに関連する事業","なし",""
"コウエキザイダンホウジンシオノギカンセンショウケンキュウシンコウザイダン","公益財団法人シオノギ感染症研究振興財団","公益財団法人","内閣府","541-0045","大阪府","大阪市中央区道修町３丁目１番８号","06-6206-3732","塩野　元三","https://shionogiinfection.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業","人類にとって脅威となる感染症に関する研究並びに活動を援助奨励し、もって学術の振興及
び人類の健康と福祉に寄与することを目的とし、感染症に関する研究・活動への助成支援事
業を行う。","なし",""
"コウエキザイダンホウジンブラッサムザイダン","公益財団法人ブラッサム財団","公益財団法人","内閣府","151-0066","東京都","渋谷区西原２丁目２６番３号ＧＡ西原１０２","050-3558-3522","權京鎬","http://www.blossomfoundation.jp/","0701～0630","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","日本国内において民族・国籍においてソーシャルマイノリティー・社会的弱者層となる在日コリアンの青少年のスポーツ活動に対して援助を行い、もって日本社会の国際化、多様性への発展に寄与することを目的としている。","なし",""
"コウエキザイダンホウジンパナックザイダン","公益財団法人パナック財団","公益財団法人","内閣府","108-0023","東京都","港区芝浦三丁目１番１号田町ステーションタワーＮ３３階","050-3613-9400","伊藤　義治","https://www.panac-f.or.jp/","0601～0531","学術及び科学技術の振興を目的とする事業","地球環境に配慮した持続可能な世界の実現へ向けて期待される科学技術分野における研究開発への助成等を行うことにより、科学技術全般の一層の発展を図り、もって国民生活の向上と安定に寄与することを目的とした事業","なし",""
"コウエキザイダンホウジン　タナベハピネスザイダン","公益財団法人タナベハピネス財団","公益財団法人","京都府","604-8436","京都府","京都市中京区西ノ京下合町１１番地４階","075-334-6116","田邉　親男","https://www.tanabe-happiness-f.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業","京都府において、人々の幸福度を上げる活動に従事され、広く社会一般の利益に寄与した実績を残された個人又は法人等の団体の活動を顕彰
不特定かつ多数の者の利益の増進に貢献する地域づくりに関する講演会を開催","なし",""
"コウエキザイダンホウジンズームグループガクジュツシンコウザイダン","公益財団法人ズームグループ学術振興財団","公益財団法人","内閣府","101-0062","東京都","千代田区神田駿河台四丁目４番地１","080-4442-2838","飯島　雅宏","https://www.zoom.jp/zaidan/","0301～0228","学術及び科学技術の振興を目的とする事業","音・音楽・楽器に関する科学技術分野における研究開発へ助成等を行うことにより、当該分野に関する科学技術全般の一層の発展を図り、もって国際社会における我が国の産業競争力の向上に寄与することを目的とする事業","なし",""
"コウエキザイダンホウジンワタキューザイダン","公益財団法人ワタキュー財団","公益財団法人","内閣府","600-8416","京都府","京都市下京区烏丸通高辻下る薬師前町７０７番地","075-744-0089","村田　清和","https://www.watakyu-zaidan.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","公益財団法人ワタキュー財団_kana","なし",""
"コウエキシャダンホウジンニセンニジュウゴネンニッポンコクサイハクランカイオオサカパビリオン","公益社団法人２０２５年日本国際博覧会大阪パビリオン","公益社団法人","大阪府","559-0034","大阪府","大阪市住之江区南港北２丁目１番１０号ＡＴＣビルＯ’ｓ棟北館４階","06-6115-6709","横山　英幸","https://expo2025-osakapv.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業","公益社団法人２０２５年日本国際博覧会大阪パビリオン_kana","なし",""
"コウエキザイダンホウジンオノヤクヒンガンメンエキシンケイケンキュウザイダン","公益財団法人小野薬品がん・免疫・神経研究財団","公益財団法人","内閣府","541-8526","大阪府","大阪市中央区道修町二丁目１番５号","06-6222-5551","粟田　浩","https://ono-pharma.fdn.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業","国民の健康と福祉に貢献する基礎研究に対し研究助成を行い、最先端の研究者等の優れた人材を育成するため、がん・免疫・神経領域における医学・薬学等の基礎研究を行う研究者に対する助成事業を実施する。","なし",""
"コウエキザイダンホウジンリスウキョウイクケンキュウショ","公益財団法人理数教育研究所","公益財団法人","内閣府","543-0052","大阪府","大阪市天王寺区大道４丁目３番２３号","06-6775-6538","岡本和夫","https://www.rimse.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","理数教育に関する調査・研究と情報の発信等を通して、わが国の理数教育の振興・充実と児童・生徒の数理的知性の涵養に寄与できるよう、研究助成や児童・生徒を対象とした表彰等を行う。","なし",""
"コウエキザイダンホウジンタムスオカモトキネンザイダン","公益財団法人タムス岡本記念財団","公益財団法人","千葉県","279-0023","千葉県","浦安市高洲７丁目２番３６号","070-3835-3710","岡本和久","https://okamoto-faundation.org/","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業","千葉県内の医学部、医学系研究部門またはその他の医学系研究機関（以下「医学部等」）に勤務する研究者への研究助成金事業、および、千葉県内の医学部等への医療経営人材育成プログラム助成金事業","なし",""
"コウエキシャダンホウジンコクサイジンザイカツヤクシエンキコウ","公益財団法人国際人材活躍支援機構","公益財団法人","内閣府","105-0004","東京都","港区新橋四丁目26番4号","03-6862-1001","坂口　岳洋","https://ihrso.or.jp","1001～0930","勤労意欲のある者に対する就労の支援を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","監理団体事業","なし",""
"コウエキシャダンホウジンサイシンコラボサンガクカン","公益社団法人さいしんコラボ産学官","公益社団法人","埼玉県","330-0061","埼玉県","さいたま市浦和区常盤5丁目15番15号","048-767-5500","橋本　義昭","http://www.collabosgk-saitama.com/","0401～0331","学術及び科学技術の振興を目的とする事業
地域社会の健全な発展を目的とする事業","教育研究機関を核に、地域の企業及び国・地方公共団体の連携を推進するネットワークを支援する事業。
産学官連携や知的財産・ビジネス・金融に関する各種セミナー、研究会、発表会、講演会等の開催。","なし",""
"コウエキザイダンホウジンソイル","公益財団法人Ｓｏｉｌ","公益財団法人","内閣府","150-0031","東京都","渋谷区桜丘町７番３号ベラコート渋谷２０３","03-6696-3623","久田　哲史","https://soil-foundation.org/","1101～1031","文化及び芸術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
高齢者の福祉の増進を目的とする事業
公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
犯罪の防止又は治安の維持を目的とする事業
事故又は災害の防止を目的とする事業
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国政の健全な運営の確保に資することを目的とする事業
地域社会の健全な発展を目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業","社会課題は多岐にわたるが、経済的見返りが見込めないために、解決のための事業の拡大や継続が難しい現実がある。Soilは社会課題解決を促進するため、活動資金の助成、若年層の社会起業支援、政策提言を行う。","なし",""
"コウエキザイダンホウジン　コウシマブンカシンコウザイダン","公益財団法人幸島文化振興財団","公益財団法人","内閣府","215-0033","神奈川県","川崎市麻生区栗木二丁目６番２０号","090-5215-1659","山本　拓司","http://kohshima.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業","地球環境保全に対する研究助成や、歴史文化に対する研究及び振興への助成等","なし",""
